t,posx,posy,posz,vx,vy,vz,Rx,Ry,ox,oy,finx,finy,finz,thx,thy,thz,aero_x,aero_y,aero_z,at_x,at_y,at_z
38.68077641294218,21.647067953068476,-49.28744887384321,353.95155606556904,-14.748621702191667,25.741893574699283,-150.74085506150055,0.06975862012488127,0.10221882395815303,0.08688710777623619,0.010722141142346429,0.10908099637118009,0.0,0.006603954579499506,-0.004047407176326345,0.12003285458712876,0.7073118925763184,-329.5279759742202,-8128.359591385756,426.335632855672,-27576.35074261803,1182.1775716039658,0.0
38.699191002452714,21.376094658067533,-48.81288505665945,351.18049348871557,-14.681551200282723,25.79988513360171,-150.22411936135015,0.07136007133001232,0.10240259479614185,0.08699782885692331,0.009217137161027723,0.10416977267007307,0.0,0.005151098747845655,-0.0025304799087384477,0.11857601954638519,0.7002257092029209,-520.7785647701643,-8417.70452011198,406.7943678533064,-32860.372004089906,3638.879940156668,0.0
38.717605591963256,21.106362901597556,-48.33727476141593,348.41888254822766,-14.61377970977987,25.855550323361676,-149.71431675921875,0.07296323357228349,0.10255858818517877,0.08708888495043866,0.00771274022224218,0.09923591526014143,0.0,0.0036763213445940037,-0.0010135526411503282,0.1171191845056414,0.6931395258295225,-707.3630026069708,-8703.919819914352,397.55899164140646,-38090.37679361941,6065.266052387327,0.0
38.73602018147379,20.837885430055564,-47.860660541439735,345.66659559830094,-14.545323009741736,25.908911713121093,-149.21144302472987,0.07456749348076744,0.10268677317750322,0.0871645377993669,0.0062103153789854655,0.09428003045718501,0.0,0.002179584072185476,0.0005033746264375694,0.11566234946489784,0.6860533424561259,-889.2435442527551,-8987.833833420826,400.15125486822785,-43270.149763232075,8462.427405740365,0.0
38.754434770984325,20.57067476409191,-47.383084630925126,342.9235051062249,-14.476196774015829,25.959992645806018,-148.71549289082702,0.07617263716351699,0.10278728491672327,0.08722516124987738,0.0047095349000552626,0.0893022293375234,0.0,0.0006610557040281209,0.002020301894025467,0.11420551442415428,0.6789671590827293,-1066.5191297609676,-9269.616696917785,414.6044715645859,-48401.13198131562,10831.307331637063,0.0
38.77284936049487,20.304743052228776,-46.90458885858859,340.1894836065743,-14.406415992844519,26.00881749376859,-148.22646241186987,0.07777860898146845,0.10286017693175163,0.08726954074800493,0.003210855442341065,0.08430243309293707,0.0,-0.0008791957512490286,0.0035372291616135865,0.11274867938341049,0.6718809757093309,-1239.3956292197622,-9548.853182199546,439.57113585288846,-53482.7042154892,13172.672532956274,0.0
38.7912639500054,20.04010220066371,-46.42521459743432,337.4644037135664,-14.335995134512608,26.055410487081115,-147.74434754916567,0.0793853023318793,0.10290550219171514,0.08729701225103836,0.0017147144008898409,0.07928062988801457,0.0,-0.002441102288700701,0.005054156429201262,0.11129184434266715,0.6647947923359343,-1407.9637695741342,-9825.70661019718,475.0742036595674,-58516.252773052925,15487.394011846387,0.0
38.809678539515936,19.776763876515783,-45.94500276468908,334.7481381216991,-14.264948152176359,26.09979569467994,-147.26914413343258,0.08099255847966946,0.10292331616455942,0.08730747537587459,0.00022149944412130394,0.07422707601160594,0.0,-0.0040245922984269355,0.0065710836967891595,0.10983500930192358,0.6577086089625377,-1572.3154247154985,-10100.340107284044,521.1228868497432,-63503.12230737638,17776.317227557833,0.0
38.82809312902648,19.514739507825787,-45.4639938218026,332.04055960575204,-14.193288483863553,26.141997024365356,-146.8008478648,0.0826001665574202,0.10291367681704876,0.08730139339901853,-0.001268451486171047,0.06913599366722645,0.0,-0.005629590767999311,0.008088010964377279,0.1083781742611798,0.6506224255891393,-1732.5434965446052,-10372.916561899036,577.7139919063368,-68444.61806104204,20040.26210643084,0.0
38.84650771853701,19.254040283556417,-44.982227774447885,329.34154102078867,-14.121029052473515,26.182038222801612,-146.33945431280904,0.08420786356537303,0.10287664461476612,0.08727979325658321,-0.0027548501748189077,0.06402316573983606,0.0,-0.007256019486389949,0.009604938231965177,0.10692133922043623,0.6435362422157418,-1888.7417988169045,-10643.598581478334,644.8331841788101,-73342.0080964293,22280.02310264331,0.0
38.86492230804755,18.994677153591898,-44.49974417252055,326.6509553021524,-14.048182265777049,26.219942875516967,-145.88495891641162,0.08581533437143193,0.10281228252211319,0.08724426554428966,-0.004237458133281239,0.05888884886947856,0.0,-0.008903797249166876,0.011121865499552852,0.10546450417969266,0.6364500588423452,-2041.0049438032518,-10912.548449559568,722.456181480151,-78196.52551801263,24496.36930351906,0.0
38.88333689755809,18.736660828738156,-44.01658211013909,323.96867546546855,-13.974760016416454,26.255734406903642,-145.43735698397106,0.08742221171116231,0.10272065600231027,0.08719696451746695,-0.005716086599643334,0.05373336881170366,0.0,-0.010572840064705736,0.012638792767141194,0.10400766913894888,0.6293638754689468,-2189.4282317888997,-11179.928082964298,810.5498806238398,-83009.37069024291,26690.04457368224,0.0
38.90175148706862,18.48000178072304,-43.53278022564537,321.2945746066464,-13.900773681905598,26.28943608021781,-144.99664369326214,0.08902807618778973,0.10260183301739648,0.08714060809105227,-0.007190596538615549,0.04855712059018425,0.0,-0.012263061361148667,0.01415572003472887,0.10255083409820531,0.6222776920955502,-2334.107543425163,-11445.898989020912,909.0734203150218,-87781.71345465389,28861.767732808916,0.0
