mach,aoa1,aoa2,f1,f2,f3,f4,vx,vy,vz,fx,fy,fz,tx,ty,tz
0.1,0.5011872336272722,0.0,0.0,0.0,0.0,0.0,35.47921204329581,0.31035761851474297,0.0,-0.11904627445048604,-0.06985649842197121,0.032581609941191934,0.0007789674627030063,-0.39991428405380475,-0.8070702479893574
0.1,0.6309573444801932,0.0,0.0,0.0,0.0,0.0,35.478418108694896,0.3907141783287194,0.0,-0.11885105937062757,-0.09069513513044758,0.03270330773474112,0.0010130355514496592,-0.4005007148484835,-1.0428547028675963
0.1,0.7943282347242815,0.0,0.0,0.0,0.0,0.0,35.47715981928114,0.49187419296045254,0.0,-0.11854755884446773,-0.11741408886741712,0.03286729719457703,0.0013082105255290966,-0.4013674213436368,-1.3411539964817714
0.1,1.0,0.0,0.0,0.0,0.0,0.0,35.475165595425366,0.6192213188074204,0.0,-0.1180738860160576,-0.15182129099914254,0.03308603804360182,0.0016852470625813298,-0.4026041438679307,-1.71899169636443
0.1,1.2589254117941673,0.0,0.0,0.0,0.0,0.0,35.47200504014891,0.7795303048423919,0.0,-0.11733237149085742,-0.19635650648583747,0.03337932786744935,0.0021627201198961554,-0.4043852875719873,-2.198413133348748
0.1,1.5848931924611136,0.0,0.0,0.0,0.0,0.0,35.46699608985495,0.9813243229077349,0.0,-0.1161686357539404,-0.25459777117487437,0.03377907226574811,0.002770744511722656,-0.4069100429487187,-2.808682265848133
0.1,1.9952623149688795,0.0,0.0,0.0,0.0,0.0,35.45905792152349,1.2353219752595836,0.0,-0.11433909370956573,-0.3314549164323417,0.03432962826623705,0.0035515756685766675,-0.4105885920306968,-3.5881969390179793
0.1,2.51188643150958,0.0,0.0,0.0,0.0,0.0,35.44647798548298,1.554994369503501,0.0,-0.11145801517902773,-0.42815804850454914,0.034820423276533514,0.004540867139274152,-0.41396327220975676,-4.567191522407011
0.1,3.1622776601683795,0.0,0.0,0.0,0.0,0.0,35.42654317694787,1.957255117853861,0.0,-0.1069185880035827,-0.5354364425610965,0.03463551432026911,0.005715058516447158,-0.41172427530604694,-5.738266758541121
0.1,3.9810717055349722,0.0,0.0,0.0,0.0,0.0,35.39495628603966,2.463306431173077,0.0,-0.09977992285757409,-0.6301124879476886,0.03296720975117605,0.006986861635267072,-0.39618962536996694,-7.0439566921344525
0.1,5.011872336272722,0.0,0.0,0.0,0.0,0.0,35.344913653525914,3.099659318266166,0.0,-0.08857026913334022,-0.7962564450663604,0.03259249120859055,0.008798291746147768,-0.3901036281038763,-8.864678757311752
0.1,6.309573444801933,0.0,0.0,0.0,0.0,0.0,35.265649679363406,3.8993283725447876,0.0,-0.07099228500009737,-1.009819616295248,0.03237794317077083,0.011124481074289427,-0.3859553598182208,-11.189920672872734
0.1,7.943282347242816,0.0,0.0,0.0,0.0,0.0,35.14014589532032,4.903157709080865,0.0,-0.0538397471647454,-1.2928413656293452,0.03197781359315991,0.014143030111124055,-0.3797240078661702,-14.189277994196376
0.1,10.0,0.0,0.0,0.0,0.0,0.0,34.94153988353425,6.161136228968004,0.0,-0.041934061810228865,-1.7085084756927174,0.03159083569434065,0.018026170617110537,-0.36860590889316525,-18.06709767249825
0.1,12.589254117941675,0.0,0.0,0.0,0.0,0.0,34.627533464315455,7.733352134891466,0.0,-0.02550046304409598,-2.299102885651478,0.030437313111643133,0.02309898419491141,-0.3453936143182945,-23.09043354558394
0.1,15.848931924611133,0.0,0.0,0.0,0.0,0.0,34.13177947786374,9.689811078601927,0.0,-0.005300643501546973,-3.0553001698023716,0.026448819174021893,0.029164570032873982,-0.2871256769962524,-29.201114873591642
0.1,19.952623149688797,0.0,0.0,0.0,0.0,0.0,33.350852172529166,12.107496373347532,0.0,0.013028547838857926,-4.093787529596301,0.017751884419444055,0.03644098224636849,-0.16848260082763983,-36.74454780503875
0.1,25.118864315095795,0.0,0.0,0.0,0.0,0.0,32.12513952695891,15.061414921511824,0.0,0.011191448578663159,-5.530705693018208,0.0003570769971395771,0.04484243491037532,0.05932621773382659,-45.9503542031893
0.5,0.0,0.0,0.0,0.0,0.0,0.0,177.40284729003906,0.0,0.0,-2.7828166570628268,0.18329975674464455,0.7900221712491937,-0.002766640767838169,-9.769960231482543,2.3094820798838347
0.5,1.0e-5,0.0,0.0,0.0,0.0,0.0,177.40284729003636,3.096263787623866e-5,0.0,-2.7836357910496066,0.18219339244448055,0.7965587676023526,-0.0027684547480499866,-9.85200876260456,2.2956794909103104
0.5,1.2589254117941661e-5,0.0,0.0,0.0,0.0,0.0,177.4028472900348,3.897965163857729e-5,0.0,-2.7836358096834246,0.18218363220146555,0.7965738955616575,-0.002779081050972687,-9.85191909906287,2.2955356496998665
0.5,1.584893192461114e-5,0.0,0.0,0.0,0.0,0.0,177.40284729003227,4.907247399068892e-5,0.0,-2.7836358690315897,0.18217191997259502,0.7965603884913993,-0.002789257892677366,-9.85197916336679,2.2954098521364417
0.5,1.9952623149688786e-5,0.0,0.0,0.0,0.0,0.0,177.40284729002832,6.17785845264861e-5,0.0,-2.783635884209839,0.18215506676078333,0.7965721764984501,-0.002765538472227602,-9.851975388902762,2.2952160534927435
0.5,2.5118864315095822e-5,0.0,0.0,0.0,0.0,0.0,177.402847290022,7.777462996506646e-5,0.0,-2.7836359210499344,0.1821381390798066,0.7965629179991304,-0.002776163836837986,-9.852017332607703,2.295012854499165
0.5,3.1622776601683795e-5,0.0,0.0,0.0,0.0,0.0,177.40284729001203,9.791245805590836e-5,0.0,-2.7836359595046005,0.18211162994113428,0.7965633477649322,-0.0027464653442681453,-9.852045993260266,2.2947197978986944
0.5,3.9810717055349695e-5,0.0,0.0,0.0,0.0,0.0,177.40284728999623,0.0001232644815778098,0.0,-2.7836358619855757,0.18208003926851118,0.7965711326364461,-0.0027843264498983444,-9.852088844436917,2.294377867994855
0.5,5.011872336272725e-5,0.0,0.0,0.0,0.0,0.0,177.4028472899712,0.00015518078822993162,0.0,-2.7836358248321633,0.1820462135208998,0.796559921656438,-0.0027779123677083017,-9.852095531047883,2.2938639170160595
0.5,6.309573444801929e-5,0.0,0.0,0.0,0.0,0.0,177.4028472899315,0.00019536103772489535,0.0,-2.783636017201632,0.1819973975729303,0.7965505158958773,-0.0027596681216137675,-9.852198558972647,2.2933253480251063
0.5,7.943282347242822e-5,0.0,0.0,0.0,0.0,0.0,177.4028472898686,0.00024594497486632097,0.0,-2.783634373107036,0.18192147325828384,0.7965278715209039,-0.0027549897731262707,-9.851818050309435,2.2924006480856183
0.5,0.0001,0.0,0.0,0.0,0.0,0.0,177.40284728976886,0.00030962637876223096,0.0,-2.7836344690480836,0.18184120075018512,0.7965632355420562,-0.002750128666399787,-9.851744625528013,2.291557248021002
0.5,0.00012589254117941674,0.0,0.0,0.0,0.0,0.0,177.40284728961083,0.0003897965163854627,0.0,-2.783634507140038,0.18174498387852853,0.7965344161820925,-0.0027598947990614686,-9.851906733827366,2.2903054608436553
0.5,0.00015848931924611142,0.0,0.0,0.0,0.0,0.0,177.40284728936035,0.0004907247399062697,0.0,-2.783634082561209,0.1816151342527673,0.79653114935276,-0.002756831363475376,-9.851687393615926,2.2887754657336212
