liquidfuel,mass,lx11,lx12,lx13,lx21,lx22,lx23,lx31,lx32,lx33,ex,ey,ez
2032.127197265625,32668.123046875,1.187172375e6,-230.23336791992188,-1.011155605316162,-230.23330688476562,13435.9072265625,155.7769775390625,-1.0111405849456787,155.7772216796875,1.187174625e6,-0.0011027944945505297,-8.352748501055899,0.000677191997877552
2028.631103515625,32629.27734375,1.18598575e6,-230.3207550048828,-1.0112375020980835,-230.32081604003906,13419.6708984375,155.4794921875,-1.0112226009368896,155.47955322265625,1.185988e6,-0.001105755377717621,-8.35153285139033,0.0006749064172764385
2025.1348876953125,32590.4296875,1.18479875e6,-230.60816955566406,-1.0109543800354004,-230.60816955566406,13403.2822265625,155.51536560058594,-1.0109394788742065,155.51548767089844,1.184800875e6,-0.001107973806642626,-8.350313198553186,0.0006762497569976766
2021.6387939453125,32551.5859375,1.183611625e6,-230.07684326171875,-1.0110735893249512,-230.07684326171875,13387.0107421875,155.68280029296875,-1.0110288858413696,155.68292236328125,1.18361375e6,-0.0011071095457237945,-8.349089853561606,0.0006785842910141671
2018.142578125,32512.740234375,1.18242425e6,-230.1186981201172,-1.0107829570770264,-230.1186981201172,13370.7158203125,155.48175048828125,-1.0107606649398804,155.481689453125,1.182426375e6,-0.0011078624858225083,-8.34786409297615,0.0006771741441425339
2014.646484375,32473.892578125,1.181237e6,-230.3700408935547,-1.0106489658355713,-230.3700408935547,13354.4189453125,155.24720764160156,-1.0106563568115234,155.24720764160156,1.181239375e6,-0.0011108436684237333,-8.346636239251986,0.0006766777707638005
2011.150146484375,32435.044921875,1.1800495e6,-230.074462890625,-1.0107159614562988,-230.07452392578125,13338.1220703125,155.38250732421875,-1.0107085704803467,155.382568359375,1.18005175e6,-0.0011105023770063838,-8.34540533295303,0.000678336424216025
2007.654052734375,32396.201171875,1.17886225e6,-229.87109375,-1.0103881359100342,-229.8712158203125,13321.7587890625,155.25341796875,-1.0103509426116943,155.25335693359375,1.1788645e6,-0.0011105332420848768,-8.3441715192013,0.000678600573111865
2004.1578369140625,32357.353515625,1.1776745e6,-230.01736450195312,-1.0103881359100342,-230.01724243164062,13305.490234375,155.0502166748047,-1.0103881359100342,155.05027770996094,1.177676625e6,-0.001113583258939066,-8.342933161068574,0.0006775892079015078
2000.6617431640625,32318.505859375,1.176487125e6,-229.9595489501953,-1.010380744934082,-229.9595489501953,13289.1953125,154.96510314941406,-1.0103881359100342,154.96510314941406,1.176489375e6,-0.0011134046974889955,-8.34169442990397,0.0006771542937559494
1997.16552734375,32279.662109375,1.17529925e6,-229.4607696533203,-1.0104328393936157,-229.4607696533203,13272.837890625,155.18885803222656,-1.0104328393936157,155.18873596191406,1.175301625e6,-0.0011128124341635015,-8.340450334766361,0.0006795906355986092
1994.252197265625,32247.2890625,1.174309375e6,-229.74758911132812,-1.010380744934082,-229.74752807617188,13259.22265625,154.8341522216797,-1.0103657245635986,154.8340301513672,1.1743115e6,-0.001115866856067349,-8.339411950843672,0.0006781752714156986
1990.755859375,32208.443359375,1.173121375e6,-229.36207580566406,-1.010335922241211,-229.3620147705078,13242.86328125,154.6077117919922,-1.0103434324264526,154.60789489746094,1.1731235e6,-0.0011146035162257206,-8.338163891158246,0.000677627114090501
1987.259765625,32169.595703125,1.171932875e6,-229.5489959716797,-1.0099411010742188,-229.5489959716797,13226.5986328125,154.41697692871094,-1.009911298751831,154.41697692871094,1.171935e6,-0.0011165429440547214,-8.336910251555828,0.0006772292749250841
1983.7635498046875,32130.75,1.170745125e6,-229.2222442626953,-1.0102763175964355,-229.2222442626953,13210.36328125,154.27952575683594,-1.0102763175964355,154.27952575683594,1.170747375e6,-0.0011166256696908405,-8.335656268553153,0.0006768468683925055
