aoa1,aoa2,mach,lin_x,lin_z,offs_x,offs_z
15.0,-10.0,0.1,0.7423097491733499,0.6890890565213991,-0.22229991726904064,-0.3294043415593981
15.0,-5.0,0.1,0.7309667089297457,0.6568910456524467,-0.10714305974481281,-0.32871972715375225
15.0,0.0,0.1,0.7349521896640272,0.6653129234545982,-2.174807983692388e-9,-0.3372153185064208
15.0,5.0,0.1,0.7303622615130025,0.6715464237492577,0.10715325586514624,-0.3373659027920458
15.0,10.0,0.1,0.7410423422332408,0.6960961101568665,0.2222682941494584,-0.33771489076083827
15.0,15.0,0.1,0.7404739573939404,0.742171190378119,0.32912345731239656,-0.3385132550710209
15.0,20.0,0.1,0.7524772200844495,0.8102107538694612,0.44740683918582935,-0.33642441084973784
15.0,25.0,0.1,0.7513675474280942,0.896988417577774,0.556018121847734,-0.32970791304034724
20.0,-25.0,0.1,0.8284246656976019,0.8925424434611148,-0.5564693722688936,-0.4435229204051189
20.0,-20.0,0.1,0.8395802341044065,0.8420197256183365,-0.4472815725575943,-0.44284331584996306
20.0,-15.0,0.1,0.8210044202346923,0.7364225607267154,-0.3295147223720746,-0.4428363660281316
20.0,-10.0,0.1,0.8178596004965032,0.6936959343013048,-0.2221700551481114,-0.4471242684851459
20.0,-5.0,0.1,0.8048178186999019,0.6638417388738491,-0.10732222917441918,-0.44747880427267117
20.0,0.0,0.1,0.8089275758730539,0.6526800943038126,5.776956615198734e-7,-0.4476246897182529
20.0,5.0,0.1,0.8040046917836159,0.657935260339962,0.1072705989587546,-0.44729378991380037
20.0,10.0,0.1,0.8163609878145193,0.6709267630496281,0.2222274688425181,-0.44283488908434165
20.0,15.0,0.1,0.8181321828780217,0.7179164286964184,0.32928968373024736,-0.44367624989858345
20.0,20.0,0.1,0.8362298930484454,0.7925141278717549,0.4473281475627917,-0.44468258263577853
20.0,25.0,0.1,0.841315854725714,0.8723497103317287,0.5560148714363204,-0.4431918468679036
25.0,-25.0,0.1,0.9517873775006827,0.8968516378842326,-0.5557344232617699,-0.6015293161196145
25.0,-20.0,0.1,0.9663015085699385,0.8174587855881642,-0.44725579575884566,-0.5994232222241607
25.0,-15.0,0.1,0.9328694329390845,0.7496606286961486,-0.3317108868450591,-0.5592964081691966
25.0,-10.0,0.1,0.9299058268713098,0.6882716360003527,-0.22226719530153052,-0.5561472784406039
25.0,-5.0,0.1,0.9134178198102946,0.6572216879732921,-0.10756691352428117,-0.5561205859024485
25.0,0.0,0.1,0.9162920133338526,0.6443046147522684,-3.034551555161189e-6,-0.5558225881679548
25.0,5.0,0.1,0.9119404611074576,0.6511642935124303,0.10756323060975251,-0.5561203487201453
25.0,10.0,0.1,0.9277512285704231,0.6801794292031876,0.222287751082454,-0.558286076459883
25.0,15.0,0.1,0.9283474918538228,0.7310420435882934,0.3318279355546299,-0.5603187769441449
25.0,20.0,0.1,0.9601495942306757,0.7689285872763368,0.44735625885438784,-0.599270259809008
25.0,25.0,0.1,0.9718652195177344,0.8777801272471517,0.5557276646131338,-0.6015265281623521
-25.0,-25.0,0.5,0.9872213893198896,0.9048615147868255,-0.5560180141752057,0.6009495604125701
-25.0,-20.0,0.5,0.9762933662593719,0.824209613859851,-0.44728468158831747,0.5997825006326456
-25.0,-15.0,0.5,0.9423407183745349,0.7537448290028448,-0.3318397984466906,0.5598356575475196
-25.0,-10.0,0.5,0.9386116450133504,0.6889750063991165,-0.22214806058352365,0.5561698219620199
-25.0,-5.0,0.5,0.921616670997842,0.656221313943875,-0.1075807777528895,0.5559360292547076
-25.0,0.0,0.5,0.9246699431238161,0.6422691079473082,2.2779591898455702e-6,0.5550807344848687
-25.0,5.0,0.5,0.9204302242408293,0.6504355641186998,0.10759934597304234,0.5559654253338318
-25.0,10.0,0.5,0.9359383741068968,0.6779141912779331,0.22224412719589198,0.5570791027797616
-25.0,15.0,0.5,0.9312104772300822,0.7330623358183475,0.3301286418384466,0.5601937934679436
-25.0,20.0,0.5,0.9701930185762079,0.7740363059257523,0.4474969241235709,0.5993901376589358
-25.0,25.0,0.5,0.9829013143412693,0.8871253495368483,0.555736209462043,0.6015292024106441
-20.0,-25.0,0.5,0.8707273369089016,0.9005650658855343,-0.5555661754421514,0.4429731186544016
-20.0,-20.0,0.5,0.8450685822685385,0.8245020361123577,-0.44718273586458557,0.4427727884474186
-20.0,-15.0,0.5,0.8255341877677587,0.7399911278025487,-0.3294805681390895,0.4430488243270428
-20.0,-10.0,0.5,0.8222737785729196,0.6949224783383771,-0.22215588315535037,0.4471459040512754
-20.0,-5.0,0.5,0.8015468719414872,0.6637471012240828,-0.10897288991672582,0.4476039836699656
-20.0,0.0,0.5,0.7956635283151965,0.651952681327495,1.0274586689972929e-6,0.448137361655827
-20.0,5.0,0.5,0.8006670383010269,0.6573668721229147,0.10900115515786223,0.4475091901975119
-20.0,10.0,0.5,0.8206516605681886,0.6714912693708277,0.22222331734782233,0.4429394910836885
-20.0,15.0,0.5,0.8225225623957064,0.7203857661751115,0.3292708328874691,0.44390460643363816
-20.0,20.0,0.5,0.8415242678660981,0.7977726138125579,0.44733326234857035,0.44468437598628896
-20.0,25.0,0.5,0.8464924017097979,0.9380718177678601,0.5560377880288281,0.4454328686051304
-15.0,-25.0,0.5,0.7698230376855979,0.9425189436615683,-0.5561412933216017,0.33430079189381867
